Lockdown Time,Lockup Time,cost,status£¨0 for unstable£¬1 for stable£©
2019/6/14 10:38,2019/6/14 10:45,0,0
2019/6/14 10:49,2019/6/14 13:38,5,0
2019/6/14 10:51,2019/6/14 17:29,10,1
2019/6/14 10:52,2019/6/14 17:06,10,1
2019/6/14 11:09,2019/6/14 12:16,5,1
2019/6/14 11:18,2019/6/14 15:45,0,1
2019/6/14 11:25,2019/6/14 18:10,10,1
2019/6/14 11:47,2019/6/14 15:44,5,1
2019/6/14 13:20,2019/6/14 16:40,5,1
2019/6/14 13:34,2019/6/14 16:32,5,1
2019/6/14 13:38,2019/6/14 17:23,5,1
2019/6/14 13:53,2019/6/14 19:07,10,1
2019/6/14 13:58,2019/6/14 15:47,5,1
2019/6/14 14:01,2019/6/14 17:06,5,1
2019/6/14 14:23,2019/6/14 14:30,0,0
2019/6/14 14:52,2019/6/14 18:44,5,1
2019/6/14 14:53,2019/6/14 17:48,5,1
2019/6/14 15:13,2019/6/14 18:01,5,1
2019/6/14 15:17,2019/6/14 19:03,5,1
2019/6/15 8:52,2019/6/15 16:04,10,1
2019/6/15 12:52,2019/6/15 16:02,5,1
2019/6/15 12:55,2019/6/15 12:55,0,0
2019/6/15 12:57,2019/6/15 12:57,0,0
2019/6/16 12:03,2019/6/16 12:20,0,1
2019/6/17 8:17,2019/6/17 17:34,10,1
2019/6/17 8:19,2019/6/17 17:44,10,1
2019/6/17 8:30,2019/6/17 8:32,0,1
2019/6/17 8:31,2019/6/17 8:32,0,1
2019/6/17 8:37,2019/6/17 17:56,10,1
2019/6/17 8:43,2019/6/17 17:46,10,1
2019/6/17 8:43,2019/6/17 18:25,10,1
2019/6/17 8:48,2019/6/17 17:32,10,1
2019/6/17 8:48,2019/6/17 17:54,10,1
2019/6/17 8:48,2019/6/17 13:31,5,1
2019/6/17 8:49,2019/6/17 17:30,10,1
2019/6/17 8:50,2019/6/17 18:03,10,1
2019/6/17 8:51,2019/6/17 18:11,10,1
2019/6/17 8:54,2019/6/17 18:09,10,1
2019/6/17 8:57,2019/6/17 18:08,10,1
2019/6/17 8:58,2019/6/17 11:46,5,1
2019/6/17 8:58,2019/6/17 18:00,10,1
2019/6/17 9:06,2019/6/17 17:36,10,1
2019/6/17 9:09,2019/6/17 9:41,0,1
2019/6/17 9:10,2019/6/17 13:13,5,1
2019/6/17 9:11,2019/6/17 17:39,10,1
2019/6/17 9:23,2019/6/17 17:34,10,1
2019/6/17 9:24,2019/6/17 18:13,10,1
2019/6/17 9:27,2019/6/17 18:19,10,1
2019/6/17 9:30,2019/6/17 17:34,10,1
2019/6/17 9:33,2019/6/17 11:37,5,1
